식품코드,식품코드명,농진청식품코드
06466,"비타민채(다채), 어린잎, 생것",F0940002660a
06467,"양배추, 적색, 싹, 생것",F129001B120a
06475,"오이, 취청, 생것",F1480050000a
06481,"파, 생것",F1910000000a
06485,무국물,F0700000009a
06491,"알로에, 과육, 생것",F1260000590a
06492,들깻잎장아찌,F0500000009a
06499,"갯기름나물, 하우스, 데친것",F0080020009c
06503,"고구마, 줄기, 삶아서 말린것, 삶은것",F208000B163b
06504,"고구마, 줄기, 데친것",F208000B169c
06509,"겨자, 녹색, 생것",F0110020000a
06510,"고춧잎, 삶아서 말린것, 삶은것",F019000B143b
06515,"김치, 얼갈이배추 김치",F2050160009a
06518,당근 주스,F0420000749a
06527,"루꼴라, 생것",F2320000000a
06528,"마늘, 데친것",F053000B069c
06529,"마늘, 통마늘, 구운것",F053000B069f
06534,"풋마늘, 잎줄기, 데친것",F054000B159c
06535,"마늘종, 꽃줄기, 데친것",F055000B089c
06543,"무 절임, 쌈무",F222000000Ja
06544,"미니파프리카, 주황색, 생것",F194004C040a
06545,"미니파프리카, 노란색, 생것",F194002C010a
06546,"미니파프리카, 빨간색, 생것",F194003C020a
06548,"배초향(방아), 잎, 생것",F221000B140a
06557,"배추, 가을 재배, 염절임",F087000228Ia
06562,"뽕잎, 삶아서 말린것, 삶은것",F2350000003b
06564,"뽕잎, 생것",F2350000000a
06565,"부지갱이(섬쑥부쟁이), 생것",F0900000000a
06568,"부지갱이(섬쑥부쟁이), 데친것",F0900000009c
06569,"산마늘(명이나물), 데친것",F098000B159c
06573,"삼채, 뿌리, 생것",F217000B090a
06577,"상추, 잎상추, 치마상추, 녹색, 생것",F1010162490a
06578,"상추, 잎상추, 치마상추, 적색, 생것",F1010162500a
06579,"갯나물, 세발나물, 데친것",F1060000009c
06583,"숙주나물, 찐것",F1120000009e
06587,"시금치, 노지, 데친것",F1150010009c
06588,"시금치, 포항초, 데친것",F1150020009c
06589,"시금치, 하우스, 데친것",F1150030009c
06590,"시금치, 섬초, 생것",F1150040000a
06591,"시금치, 섬초, 데친것",F1150040009c
06594,"아주까리, 순, 말린것",F125000B110a
06599,"양배추, 찐것",F1290000009e
06600,"양파, 자색 양파, 생것",F1320020000a
06604,양파 장아찌,F2180000009a
06605,"배추, 얼갈이배추, 데친것",F1360000009c
06607,"울금, 뿌리줄기, 생것",F228000B100a
06609,"유채, 잎, 데친것",F157000B149c
06610,"유채, 동채, 데친것",F1570010009c
06611,"대나무순(죽순), 삶은것",F167000B119b
06612,"참나물, 재배, 데친것",F1710020009c
06613,"참죽나물(가죽나물), 생것",F1740000000a
06616,"참죽나물(가죽나물), 데친것",F1740000009c
06617,"청경채, 데친것",F1750000009c
06620,"취나물, 참취, 삶아서 말린것",F1770030003a
06621,"취나물, 참취, 삶아서 말린것, 데친것",F1770030003c
06625,"토마토, 대저, 생것",F1860040000a
06626,"토마토, 대저, 데친것",F1860040009c
06630,"파, 대파, 생것",F1910040000a
06636,"할라페뇨, 통조림",F233000000Ra
06637,"호박, 늙은호박, 찐것",F1980030009e
06638,"호박, 단호박, 찐것",F1980040009e
06639,"호박, 애호박, 말린것, 데친것",F1980050001c
06640,"호박, 애호박, 말린것",F1980050001a
06643,호박즙,F2150000759a
06644,"우엉, 장조림",F2140000009r
06645,"멸치 볶음, 멸치풋고추볶음",K0670010009a
06646,채소 주스,P0010000009a
06647,"채소 주스, 녹즙",P0010042369a
06650,"배추, 시래기, 말린것, 삶은것",F087000B141b
06651,산마늘(명이나물)장아찌,F098000B15Ja
06652,"갯기름나물, 생것",F0080000000a
06653,"갯기름나물, 데친것",F0080000009c
06655,"시금치, 생것",F1150000000a
07003,"느타리버섯, 생것",G0040000000a
07004,"느타리버섯, 데친것",G0040000009c
07005,"만가닥버섯, 생것",G0070000000a
07006,"목이버섯, 말린것",G0080000001a
07007,"목이버섯, 데친것",G0080000009c
07016,"석이버섯, 말린것",G0130000001a
07017,"상황버섯, 말린것",G0120000001a
07018,"송이버섯, 생것",G0140000000a
07021,"싸리버섯, 생것",G0150000000a
07024,"아위버섯, 생것",G0160000000a
07025,"양송이버섯, 생것",G0180000000a
07026,"양송이버섯, 통조림",G018000000Ra
07034,"큰느타리버섯(새송이버섯), 생것",G0230000000a
07035,"큰느타리버섯(새송이버섯), 데친것",G0230000009c
07038,"팽이버섯, 생것",G0250040000a
07039,"팽이버섯, 데친것",G0250040009c
07044,"표고버섯, 참나무재배, 생것",G0270020000a
07045,"표고버섯, 참나무재배, 데친것",G0270020009c
07046,"표고버섯, 참나무재배, 말린것",G0270020001a
07047,"표고버섯, 참나무재배, 말린것, 삶은것",G0270000001b
07048,"표고버섯, 가루",G0270000005a
07064,"목이버섯, 생것",G0080000000a
07069,"능이버섯(향버섯), 생것",G0050000000a
07078,"애느타리버섯, 생것",G0170000000a
07081,"표고버섯, 배지재배, 갓, 생것",G0270000640a
07082,"표고버섯, 배지재배, 갓, 말린것",G0270000641a
07101,"양송이버섯, 말린것(자연건조)",G018000000Xa
08001,"감, 단감, 생것",H0010010000a
08003,"감, 연시, 생것",H0010040000a
08004,"감, 대봉, 갑주백목, 생것",H0010020000a
08005,"감, 연시, 냉동",H0010040007a
08006,"감, 감말랭이, 말린것",H0050000001a
08007,"감, 곶감, 말린것",H0060000001a
08013,"귤 주스, 천연과즙",H0130000759a
08016,"귤, 통조림",H010000E03Ra
08018,"귤, 만감류, 한라봉, 생것",H0100010000a
08020,"구아바 주스, 과즙 음료(10%)",H0090000739a
08022,"자몽(그레이프프루트), 생것",H0840000000a
08026,"자몽(그레이프프루트) 주스, 가당, 캔",H085000E01Qa
08028,"금귤, 생것",H0140000000a
08032,"대추, 생것",H0160000000a
08033,"대추, 말린것",H0160000001a
08035,"두리안, 생것",H0180000000a
08036,"딸기, 개량종, 생것",H0190010000a
08038,"딸기, 잼",H0210000009a
08040,"라임 주스, 천연과즙",H0230000759a
08042,"레몬, 생것",H0240000000a
08043,레몬 과즙,H0250000009a
08048,"망고, 생것",H0280000000a
08049,"매실, 생것",H0290000000a
08050,매실청,H030000000Ha
08051,"매실 절임, 염절임, 고형물",H031000000Ia
08053,"머루, 개량머루, 생것, 껍질과 씨 포함",H0320010000a
08054,"머루, 생것, 껍질과 씨 포함",H032000B220a
08057,"멜론, 머스크, 생것",H0340020000a
08060,"무화과, 생것",H0360000000a
08061,"무화과, 수입산, 말린것",H0360000001a
08063,"바나나, 생것",H0370000000a
08064,"바나나, 말린것",H0370000001a
08065,"배, 신고, 생것",H0380040000a
08068,배즙,H0390000009a
08077,"복숭아, 백도, 생것",H0430020000a
08078,"복숭아, 천도, 생것",H0430070000a
08079,"복숭아, 황도, 생것",H0430080000a
08080,"복숭아, 넥타",H0440000009a
08082,"복숭아, 잼",H0450000009a
08084,"복숭아, 황도, 통조림",H043008000Ra
08085,"블루베리, 생것",H0470000000a
08086,"블루베리, 잼",H0480000009a
08090,"사과, 부사, 생것",H0500020000a
08091,"사과, 아오리, 생것, 껍질 포함",H050003B030a
08092,"사과, 홍옥, 생것",H0500070000a
08093,"사과, 말린것",H0500000001a
08096,사과 주스,H0530000749a
08097,사과 음료,H053000000Qa
08100,"사과, 잼",H0520000009a
08101,"산딸기, 생것",H0540000000a
08103,"살구, 생것",H0560000000a
08104,"살구, 말린것",H0560000001a
08107,"살구, 잼",H0580000009a
08108,"석류, 생것",H0590000000a
08110,"수박, 적육질, 생것",H0610030000a
08114,"아보카도, 생것",H0640000000a
08116,"앵두, 생것",H0660000000a
08119,"오디, 생것",H0680000009a
08121,"오렌지, 생것",H0690000000a
08122,오렌지 주스,H0720000009a
08126,오렌지 마멀레이드,H0710000009a
08129,"올리브 절임, 미숙, 초록색",H076000C059a
08130,"올리브 절임, 완숙, 검은색",H0760000799a
08136,"자두, 생것",H0820000000a
08137,"참외, 생것, 씨 포함",H086000B040a
08138,"참외, 금싸라기, 생것, 씨 제거",H0860010850a
08141,"크랜베리, 생것",H0880000000a
08142,"크랜베리 주스, 칵테일",H0890000869a
08144,"파인애플, 생것",H0920000000a
08145,파인애플 주스,H0940000749a
08148,"파인애플 주스, 캔",H094000000Qa
08150,"파인애플, 통조림, 고형물",H092000251Ra
08153,"백향과(패션프루트) 주스, 황색과육",H0970000849a
08155,"포도, 거봉, 생것",H0980010000a
08158,"포도, 캠벨얼리, 생것",H0980070000a
08160,"포도, 건포도",H0980000001a
08161,포도 주스,H1020000009a
08163,포도즙,H1060000759a
08170,"프루트칵테일, 통조림",H104000000Ra
08173,"배, 생것",H0380000000a
08174,"사과, 생것",H0500000000a
08181,"귤, 온주밀감, 생것",H0100020000a
08184,"망고, 애플망고, 생것",H0280010000a
08193,"블랙베리, 생것",H0460000000a
08194,"블루베리, 냉동",H0470000007a
08198,"오미자, 말린것",H0730000001a
08199,오미자청,H074000000Ha
08200,"용과, 백육종, 생것",H0770010000a
08207,"자두, 말린것",H0820000001a
08210,유자청,O023000000Ha
08215,"귤, 만감류, 천혜향, 생것",H0100060000a
08216,"꾸지뽕, 열매, 생것",H114000B130a
08217,"딸기, 말린것",H0190010001a
08221,"리치, 냉동",H0270000007a
08222,"망고스틴, 생것",H1160000000a
08225,"바나나칩, 튀긴것",H0370000001j
08226,"배 음료, 캔",H1070000619a
08229,"복숭아, 황도, 통조림, 고형물",H043008251Ra
08233,"블루베리, 말린것",H0470000001a
08234,"사과, 아오리, 생것",H050003B020a
08236,"아로니아, 네로, 생것",H1100010000a
08237,"아로니아, 바이킹, 냉동",H1100020007a
08242,"참외, 생것, 씨 제거",H086000B200a
08243,"체리, 생것",H1110000000a
08244,"체리, 통조림, 고형물",H112000251Ra
08246,"크랜베리, 말린것, 가당",H0880000001a
08247,"키위, 골드, 생것",H0900010000a
08248,"키위, 그린, 생것",H0900020000a
08249,키위 주스,H1090002449a
08250,"파인애플, 통조림, 액즙",H092000252Ra
08253,"파파야, 완숙, 생것",H0950002540a
08255,"백향과(패션프루트), 생것, 씨 포함",H0960000000a
08256,"포도, 거봉, 생것, 껍질 포함",H098001B030a
08257,"포도, 캠벨얼리, 생것, 껍질 포함",H098007B030a
08258,"포도, 캠벨얼리, 생것, 껍질과 씨 포함",H098007B220a
08259,"포도, 힘로드시드레스, 생것",H0980080000a
08260,"포도, 힘로드시드레스, 생것, 껍질 포함",H098008B030a
08261,"포도, 샤인머스캣, 생것, 껍질 포함",H098009B030a
08263,"귤, 만감류, 레드향, 생것",H0100140000a
08264,"귤, 만감류, 황금향, 생것",H0100150000a
08265,"포도, 레드글로브, 생것, 껍질 포함",H098012B030a
09001,"개고기, 생것",
09015,"닭고기, 성계, 생것",I0080010000a
09016,"닭고기, 살코기, 생것",I008000D150a
09018,"닭고기, 살코기, 삶은것",I008000D159b
09020,"닭고기, 살코기, 튀긴것(튀김옷)",I008000D159k
09026,"닭고기, 가슴, 생것",I008000D020a
09027,"닭고기, 가슴, 구운것(팬)",I008000D029g
09028,"닭고기, 가슴, 튀긴것(튀김옷)",I008000D029k
09029,"닭고기, 날개, 생것",I008000D050a
09030,"닭고기, 날개, 구운것(오븐)",I008000D059i
09033,"닭고기, 날개, 튀긴것(튀김옷)",I008000D059k
09037,"닭고기, 다리(넓적다리), 튀긴것(튀김옷)",I008000D069k
09038,"닭고기, 다리(넓적다리), 생것",I008000D060a
09041,"닭고기, 다리(아랫다리), 생것",I008000F080a
09042,"닭고기, 다리(아랫다리), 구운것(오븐)",I008000F089i
09045,"닭고기, 다리(아랫다리), 튀긴것(튀김옷)",I008000F089k
09051,"닭고기, 목, 튀긴것(튀김옷)",I008000D129k
09052,"닭고기, 영계, 삶은것",I0080020009b
09054,"닭고기, 토종, 생것",I0080040000a
09060,"닭고기, 전체, 튀긴것",I008000B019j
09061,닭 육수,I0110000009a
09066,"닭 부산물, 모래주머니, 생것",I009000D410a
09070,"돼지고기, 살코기, 생것",I014000D150a
09071,"돼지고기, 갈비, 생것",I014000D030a
09072,"돼지고기, 갈비, 구운것(팬)",I014000D039g
09073,"돼지고기, 갈비, 삶은것",I014000D039b
09075,"돼지고기, 뒷다리, 생것",I014000D100a
09077,"돼지고기, 등심, 생것",I014000D110a
09078,"돼지고기, 등심, 구운것(팬)",I014000D119g
09081,"돼지고기, 목심, 생것",I014000D130a
09082,"돼지불고기, 생것",I0190000000a
09083,"돼지고기, 사태, 생것",I014000D140a
09084,"돼지고기, 사태, 구운것(팬)",I014000D149g
09085,"돼지고기, 삼겹살(삼겹살), 생것",I014000D160a
09086,"돼지고기, 안심, 생것",I014000D200a
09089,"돼지고기, 앞다리(앞다리살), 생것",I014000D770a
09094,"돼지 부산물, 간, 삶은것",I015000D339b
09096,"돼지 부산물, 머리고기, 생것",I015000D400a
09097,"돼지 부산물, 소창(곱창), 삶은것",I015000D459b
09099,"돼지 부산물, 신장, 삶은것",I015000D469b
09101,"돼지 부산물, 심장(염통), 삶은것",I015000D479b
09103,"돼지 부산물, 족발, 삶은것",I015000D519b
09104,"돼지 부산물, 족발, 조미, 삶은것",I015000D51Db
09106,"돼지 부산물, 허파, 삶은것",I015000D579b
09107,"포크커틀릿, 냉동",I0180000007a
09109,베이컨,I0210000009a
09110,"베이컨, 구운것",I0210000009f
09113,"소시지, 볼로냐소시지",I0160020009a
09114,"소시지, 위너(비엔나)소시지",I0160030009a
09115,"소시지, 이탈리안소시지",I0160040009a
09116,"소시지, 프랑크푸르트소시지",I0160050009a
09119,"햄, 등심햄",I0170010009a
09124,"햄, 슬라이스햄",I0170060009a
09128,"햄, 런천미트햄",I0170020009a
09135,"소고기, 한우(1등급), 살코기, 생것",I027006D150a
09137,"소고기, 한우, 등심, 생것",I027003D110a
09142,"소고기, 한우, 양지, 생것",I027003D280a
09145,"소불고기, 생것",I0290000000a
09149,"소고기, 수입산, 목심(목심살), 생것",I027001D130a
09150,"소고기, 수입산, 목심(목심살), 삶은것",I027001D139b
09156,"소고기, 수입산, 안심(안심살), 구운것",I027001D209f
09162,"소 부산물, 간, 생것",I028000D330a
09166,"소 부산물, 꼬리, 생것",I028000D360a
09167,양지국물,I0300000009a
09168,"우족국물, 중량3배물",I0310001079a
09170,"소 부산물, 외국산, 대장, 생것",
09171,"소 부산물, 소장(곱창), 생것",I028000D450a
09172,"소 부산물, 신장, 생것",I028000D460a
09174,"소 부산물, 심장, 생것",I028000D470a
09176,"소 부산물, 양(위), 생것",I028000D480a
09177,"소 부산물, 천엽, 생것",I028000D540a
09178,"소 부산물, 선지(피), 생것",I028000D440a
09179,"소 부산물, 허파, 생것",I028000D570a
09183,"소고기, 육포",I0320000009a
09218,"어린양고기, 수입산, 살코기, 생것",I037001D150a
09233,"칠면조고기, 생것",I0430010000a
09239,"햄, 프레스햄",I0170080009a
09251,"돼지고기, 삼겹살, 구운것(팬)",I014000D169g
09252,"돼지 부산물, 대장, 생것",I015000D380a
09255,"돼지 부산물, 소창(곱창), 생것",I015000D450a
09256,"돼지 부산물, 위(오소리감투), 삶은것",I015000D499b
09261,"포크커틀릿, 냉동, 튀긴것(빵가루)",I0180000007j
09283,"닭고기, 가슴, 삶은것",I008000D029b
09284,"닭고기, 다리(넓적다리), 삶은것",I008000D069b
09285,"닭 부산물, 닭발, 삶은것",I009000F050b
09288,"돼지고기, 목심, 삶은것",I014000D139b
09289,"돼지고기, 목심, 구운것(팬)",I014000D139g
09291,"돼지고기, 삼겹살, 삶은것",I014000D169b
09295,"돼지고기, 뒷다리(뒷사태살), 생것",I014000D640a
09299,"돼지고기, 뒷다리(홍두깨살), 생것",I014000D680a
09304,"돼지고기, 삼겹살(갈매기살), 생것",I014000D730a
09305,"돼지고기, 삼겹살(등갈비), 생것",I014000D740a
09308,"돼지고기, 앞다리(항정살), 생것",I014000D780a
09310,"돼지 부산물, 위(오소리감투), 생것",I015000D490a
09315,"소고기, 한우, 등심, 구운것(팬)",I027003D119g
09316,"소고기, 한우, 양지, 삶은것",I027003D289b
09317,"소고기, 한우, 양지, 구운것(팬)",I027003D289g
09318,"소고기, 한우(1등급), 목심, 생것",I027006D130a
09320,"소고기, 한우(1등급), 설도(설깃살), 생것",I027006D190a
09321,"소고기, 한우(1등급), 안심, 생것",I027006D200a
09322,"소고기, 한우(1등급), 앞다리(꾸리살), 생것",I027006D220a
09323,"소고기, 한우(1등급), 우둔(우둔살), 생것",I027006D260a
09324,"소고기, 한우(1등급), 우둔(홍두깨살), 생것",I027006D270a
09325,"소고기, 한우(1등급), 양지(양지머리), 생것",I027006D290a
09326,"소고기, 한우(1등급), 양지(업진살), 생것",I027006D300a
09327,"소고기, 한우(1등급), 채끝, 생것",I027006D320a
09328,"소고기, 한우(1등급), 앞다리(부채살), 생것",I027006D710a
09329,"소고기, 한우(1등급), 앞다리(앞다리살), 생것",I027006D770a
09330,"소고기, 한우(1등급), 갈비(꽃갈비), 생것",I027006D800a
09337,"소고기, 한우(1등급), 등심(살치살), 생것",I027006D870a
09343,"소고기, 한우(1등급), 사태(아롱사태), 생것",I027006D930a
09344,"소고기, 한우(1등급), 사태(앞사태), 생것",I027006D940a
09345,"소고기, 한우(1등급), 설도(도가니살), 생것",I027006D950a
09346,"소고기, 한우(1등급), 설도(삼각살), 생것",I027006D960a
09352,"소고기, 한우(1등급), 양지(차돌박이), 생것",I027006F030a
09353,"소고기, 한우(1등급), 양지(치마살), 생것",I027006F040a
09356,"오리고기, 생것, 껍질 포함",I040000B030a
09357,"오리고기, 살코기, 생것",I040000D150a
09361,"소고기, 한우(1등급), 갈비, 생것",I027006D030a
09362,"소고기, 한우(1등급), 등심, 생것",I027006D110a
09363,"소고기, 한우(1등급), 사태, 생것",I027006D140a
09364,"소고기, 한우(1등급), 설도, 생것",I027006D170a
09365,"소고기, 한우(1등급), 앞다리, 생것",I027006D210a
09366,"소고기, 한우(1등급), 우둔, 생것",I027006F070a
09367,"소고기, 한우(1등급), 양지, 생것",I027006D280a
10005,"달걀, 생것",J0030000000a
10006,"달걀, 삶은것",J0030000009b
10007,"달걀, 난백, 생것",J0030001080a
10008,"달걀, 난백, 삶은것",J0030001089b
10009,"달걀, 난황, 생것",J0030001090a
10011,"달걀, 가루",J0030000005a
10012,"달걀, 수란, 중탕",J0050000009s
10013,"달걀, 스크램블에그",J0060000009n
10014,"달걀, 부침(달걀프라이)",J0040000009m
10015,"메추리알, 생것",J0080000000a
10016,"메추리알, 삶은것",J0080000009b
10018,"오리알, 피단",J0100010009a
11004,"가다랑어, 반건",
11007,"다랑어, 가다랑어, 통조림, 유지",K001000000Sa
11013,"가오리, 나비가오리, 생것",K0070010000a
11014,"가오리, 노랑가오리, 생것",K0070020000a
11017,"가오리, 조미하여 말린것",K007000000Ba
11018,"가자미, 생것",K0080000000a
11032,"갈치, 생것",K0100000000a
11033,"갈치, 얼간",K010000000Ka
11034,"갈치, 젓갈",K011000000Ia
11039,"고등어, 생것",K0150000000a
11041,"고등어, 반건조",K0150000004a
11042,"고등어, 구운것",K0150000009f
11044,"고등어, 자반고등어",K015000112Ka
11045,"고등어, 통조림",K015000000Ra
11055,"꽁치, 생것",K0230000000a
11060,"꽁치, 통조림, 조미",K023000000Ta
11062,"날치, 알, 생것",K025000D590a
11065,"넙치(광어), 생것",K0270000000a
11083,"다랑어, 참다랑어, 생것",K0390010000a
11085,"다랑어, 참다랑어, 붉은살, 생것",K0390010940a
11089,"다랑어, 참다랑어, 냉동",K0390010007a
11093,"다랑어, 황다랑어, 생것",K0390020000a
11099,"대구, 생것",K0440000000a
11102,"대구, 내장, 생것",K045000D370a
11103,"대구, 알, 생것",K045000D590a
11104,"대구, 냉동",K0440000007a
11109,"대구, 아가미, 젓갈",K047001000Ia
11110,"대구 튀김, 냉동",K0460000007a
11112,"도다리, 생것",K0500000000a
11113,"도루묵, 생것",K0520000000a
11119,"돔, 감성돔, 생것",K0550020000a
11126,"돔, 돌돔, 생것",K0550090000a
11135,"돔, 옥돔, 생것",K0550190000a
11138,"돔, 옥돔, 반건조",K0550190004a
11141,"돔, 참돔, 생것",K0550220000a
11143,"돔, 참돔, 삶은것",K0550220009b
11162,"메기, 생것",K0650000000a
11163,"멸치, 생것",K0660000000a
11164,"멸치, 대멸치, 삶아서 말린것",K0660001143a
11165,"멸치, 중멸치, 삶아서 말린것",K0660001153a
11166,"멸치, 잔멸치, 삶아서 말린것",K0660001163a
11167,"멸치, 젓갈",K069000000Ia
11168,"멸치, 액젓",K069001000Ia
11169,"멸치, 통조림, 유지",K066000000Sa
11170,"명태, 생것",K0700000000a
11172,"명태, 북어, 말린것",K0700001171a
11173,"명태, 노가리, 말린것",K0700001181a
11174,"명태, 동태, 냉동",K0700001227a
11175,"명태, 코다리, 반건조",K0700001214a
11177,"명태, 먹태, 포, 말린것",K070000D561a
11180,"명태, 알, 생것",K071000D590a
11188,"문절망둑, 생것",K0750000000a
11191,"메기, 물메기, 생것",K0650010000a
11193,"미꾸리, 생것",K0770000000a
11196,"민어, 생것",K0790000000a
11206,"박대, 반건조",K0820000004a
11207,"방어, 생것",K0830000000a
11213,"밴댕이, 생것",K0850000000a
11214,"밴댕이, 삶아서 말린것",K0850000003a
11215,"밴댕이, 젓갈",K086000000Ia
11218,"뱅어, 포, 말린것",K087000D561a
11219,"베도라치, 생것",K0880000000a
11225,"병어, 생것",K0920000000a
11229,"복어, 검복, 생것",K0950010000a
11230,"복어, 까치복, 생것",K0950030000a
11233,"복어, 밀복, 생것",K0950060000a
11239,"볼락, 생것",K0960000000a
11242,"볼락, 조피볼락(우럭), 생것",K0960070000a
11244,"볼락, 구운것",K0960000009f
11248,"볼락, 불볼락, 생것",K0960040000a
11261,"빙어, 바다빙어, 구운것(오븐)",K1030010000i
11267,"삼치, 생것",K1070000000a
11287,"서대, 참서대, 생것",K1150030000a
11293,"숭어, 생것",K1200000000a
11298,"쏘가리, 생것",K1240000000a
11303,"아귀, 생것",K1280000000a
11305,"아귀, 간, 생것",K129000D330a
11313,"양미리, 생것",K1330000000a
11315,"양태, 생것",K1340000000a
11318,"연어, 생것",K1370000000a
11319,"연어, 생것, 소금첨가",K1370001240a
11321,"연어, 알, 생것",K138000D590a
11328,"연어, 훈제",K137000000Fa
11333,"대구, 은대구, 생것",K0440020000a
11345,"임연수어, 생것",K1480000000a
11346,"임연수어, 반건조",K1480000004a
11347,"임연수어, 염장",K148000000Ka
11352,"장어, 갯장어, 생것",K1530010000a
11353,"장어, 먹장어, 생것",K1530020000a
11354,"장어, 뱀장어, 생것",K1530040000a
11355,"장어, 뱀장어, 구운것",K1530040009f
11358,"장어, 붕장어, 생것",K1530050000a
11360,"장어, 붕장어, 뼈, 튀긴것",K154002D439j
11363,"장문볼락, 생것",K1520000000a
11375,"전어, 생것",K1570000000a
11392,"조기(참조기), 생것",K1620000000a
11393,"조기(참조기), 굴비, 소금에 절여 말린것",K162000129Aa
11394,"조기(참조기), 젓갈",K163000000Ia
11406,"청어, 생것",K1680000000a
11416,"틸라피아, 생것",K1730000000a
11423,"향어, 생것",K1780000000a
11424,"홍어, 생것",K1800000000a
11433,"황새치, 젓갈",K184000000Ia
11440,"어묵, 구운것",K8000000009f
11441,"어묵, 찐어묵",K8000000009e
11442,어묵,K8000000009j
11443,어육소시지,K8030000009a
11449,"가리비, 생것",K4000000000a
11451,"가리비, 삶은것",K4000000009b
11455,"가리비, 관자, 생것",K4000001300a
11459,"조개, 가무락조개, 생것",K4250010000a
11461,"조개, 개량조개(명주조개), 생것",K4250020000a
11462,"조개, 개량조개(명주조개), 말린것",K4250020001a
11463,"조개, 개조개, 생것",K4250030000a
11467,"굴, 참굴, 생것",K4040020000a
11473,"굴, 참굴, 양념젓갈(어리굴젓)",K405001000Ia
11477,"꼬막, 생것",K4060000000a
11479,"우렁이, 논우렁이, 생것",K4190010000a
11481,"동죽, 생것",K4110000000a
11491,"바지락, 생것",K4130000000a
11495,"바지락, 젓갈",K414000000Ia
11498,"백합, 생것",K4150000000a
11507,"대합, 북방대합, 생것",K4100010000a
11508,"맛, 붉은맛(큰죽합), 생것",K4120010000a
11512,"꼬막, 새꼬막, 생것",K4060010000a
11516,"소라, 생것",K4160000000a
11517,"소라, 통조림",K416000000Ra
11521,"우렁이, 왕우렁, 생것",K4190030000a
11522,"조개, 우럭, 생것",K4250100000a
11523,"고둥, 위고둥, 생것",K4030130000a
11524,"재첩, 생것",K4210000000a
11525,"전복, 둥근전복, 생것",K4220010000a
11527,"전복, 북방전복, 생것",K4220030000a
11530,"전복, 내장, 생것",K423000D370a
11534,"조개, 접시조개(비단조개), 생것",K4250110000a
11541,"우렁이, 큰구슬우렁이(골뱅이), 생것",K4190040000a
11543,"조개, 키조개, 생것",K4250140000a
11546,"고둥, 피뿔고둥, 생것",K4030170000a
11547,"조개, 피조개, 생것",K4250160000a
11550,"담치, 참담치(홍합), 생것",K4270000000a
11551,"담치, 참담치(홍합), 삶아서 말린것",K4270000003a
11552,"담치, 참담치(홍합), 통조림",K427000000Ra
11553,"가재, 갯가재, 생것",K6000010000a
11555,"가재, 바닷가재, 생것",K6000020000a
11556,"가재, 바닷가재, 찐것",K6000020009e
11557,"오징어, 갑오징어, 생것",K6230010000a
11559,"개불, 생것",K6010000000a
11560,"게, 꽃게, 생것",K6020010000a
11561,"게, 꽃게, 찐것",K6020010009e
11564,"게, 닭게, 젓갈",K604001000Ia
11570,"게, 붉은대게, 생것",K6020100000a
11575,"군소, 생것",K6050000000a
11577,"꼴뚜기, 참꼴뚜기, 삶아서 말린것",K6060000003a
11579,"꼴뚜기, 양념젓갈",K607000127Ia
11581,"낙지, 세발낙지, 생것",K6080010000a
11582,"문어, 생것",K6110000000a
11583,"문어, 대문어, 말린것",K6110000001a
11584,"문어, 삶은것",K6110000009b
11585,"미더덕, 생것",K6120000000a
11586,"게, 방게, 생것",K6020060000a
11587,"성게, 보라성게, 알, 생것",K619001D599a
11590,"꼴뚜기, 불똥꼴뚜기, 삶은것",K6060010009b
11594,"새우, 가시발새우, 생것",K6130010000a
11597,"새우, 꽃새우, 생것",K6130050000a
11598,"새우, 꽃새우, 찐것",K6130050009e
11599,"새우, 꽃새우, 튀긴것(빵가루)",K6130050009k
11600,"새우, 꽃새우, 냉동",K6130050007a
11601,"새우, 꽃새우, 삶아서 말린것",K6130050003a
11605,"새우, 대하, 생것",K6130070000a
11609,"새우, 보리새우, 생것",K6130110000a
11610,"새우, 보리새우, 삶은것",K6130110009b
11612,"새우, 중하, 생것",K6130130000a
11617,"새우, 젓새우, 생것",K6130140000a
11621,"새우, 징거미새우, 생것",K6130150000a
11626,"새우, 젓갈, 토굴육젓",K617005136Ia
11627,"새우, 젓갈, 추젓",K617007000Ia
11634,"성게, 알, 젓갈",K620002000Ia
11636,"오징어, 생것",K6230000000a
11637,"오징어, 말린것",K6230000001a
11638,"오징어, 구운것",K6230000009f
11641,"오징어, 냉동",K6230000007a
11644,"오징어, 양념젓갈",K627000127Ia
11646,"오징어, 조미, 구운것",K623000000Df
11647,"오징어, 포, 조미하여 말린것",K623000D56Ba
11649,"오징어, 조미훈제",K623000000Ga
11650,"멍게(우렁쉥이), 생것",K6100000000a
11651,"멍게, 양식, 생것",K6100030000a
11652,"주꾸미, 생것",K6290000000a
11658,"한치, 생것",K6330000000a
11659,"해삼, 생것",K6340000000a
11660,"해삼, 말린것",K6340000001a
11662,"해파리, 생것",K6360000000a
11666,"새우, 젓갈",K617004000Ia
11693,"명태, 황태, 포, 말린것",K0700001201a
11707,"다슬기, 생것",K4070000000a
11720,"게, 대게, 생것",K6020030000a
11723,"게, 민꽃게, 생것",K6020040000a
11734,어묵 국물,K8010000009a
11738,"쥐치, 포, 조미하여 말린것",K165000D56Ba
11740,큰우슬우렁이(골뱅이) 무침,K4200010009a
11742,"게, 대게, 삶은것",K6020030009b
11744,"낙지, 생것",K6080000000a
