식품코드,식품코드명,농진청식품코드
01243,"찹쌀떡, 찰시루떡",A0410050009a
01244,찹쌀떡,A0410000009a
01247,"찹쌀 과자, 산자",A0390020009a
01248,"찹쌀 과자, 유과",A0390030009a
01249,"찹쌀, 백미, 가루",A0380000005a
01251,"옥수수, 메옥수수, 구운것",A0300030009f
01252,"옥수수, 메옥수수, 말린것",A0300030001a
01253,"옥수수, 단옥수수, 생것",A0300020000a
01254,"옥수수, 단옥수수, 삶은것",A0300020009b
01255,"옥수수, 찰옥수수, 생것",A0300070000a
01257,"옥수수, 찰옥수수, 삶은것",A0300070009b
01259,"옥수수, 가루",A0300000005a
01261,"옥수수, 통조림, 가당",A030000E01Ra
01263,"옥수수, 통조림, 홀커넬",A030000049Ra
01267,"율무, 도정, 생것",A034000A010a
01270,"조, 메조, 도정, 생것",A037001A010a
01271,"조, 차조, 도정, 생것",A037002A010a
01276,호밀빵,A0450000009a
01278,"옥수수 과자, 팝콘, 캐러멜맛",A0310032619a
01279,"멥쌀, 현미, 생것",A008000A060a
01280,"빵, 베이글",A0210110009a
01283,"찹쌀, 현미, 흑미, 생것",A0380000020a
01284,"미숫가루, 혼합곡물",A0250030005a
01300,"멥쌀 국수, 말린것",A0100000001a
01302,"빵, 꽈배기",A0210030009a
01303,"찹쌀빵, 찹쌀도넛",A0420010009a
01304,"빵, 크림빵, 버터",A0210190299a
01305,"빵, 바게트",A0210100009a
01306,"빵, 페이스트리",A0210210009a
01307,"빵, 크로켓, 채소",A0210180409a
01314,"멥쌀밥, 쪄서 말린것",A0130000002a
01316,"멥쌀떡, 모싯잎송편, 동부",A0110072649a
01318,"멥쌀떡, 무지개떡",A0110050009a
01319,"찹쌀떡, 모듬찰떡",A0410020009a
01320,"기장, 찰기장, 도정, 생것",A003001A010a
01321,"메밀 냉면, 말린것, 삶은것",A0060000001b
01323,"멥쌀떡, 백설기, 검정콩",A0110060059a
01328,"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",A0140002209a
01329,"즉석밥, 백미",A014000A039a
01331,"밀, 호라산, 말린것",A0160142481a
01332,"과자, 쿠키, 통밀",A0170140109a
01333,"과자, 크래커, 채소",A0170152229a
01334,"과자, 뻥튀기, 원반 모양, 팽화",A0170172219w
01335,"과자, 마카로니",A0170180009j
01336,"국수, 생것",A0180000000a
01337,"국수, 중면, 말린것, 삶은것",A0180050001b
01338,"칼국수면, 생것, 삶은것",A0180070000b
01339,"라면, 말린것, 삶은것",A0190000001d
01340,"빵, 붕어빵, 팥",A0210220069a
01341,"빵, 소시지빵",A0210230009a
01342,"빵, 난",A0210240009a
01344,"보리, 겉보리, 늘보리, 도정, 생것",A025008A010a
01346,"시리얼, 옥수수, 그래놀라, 코코넛",A0290150009a
01347,"시리얼, 옥수수, 그래놀라, 건조과일",A0290160009a
01351,"옥수수, 메옥수수, 삶은것",A0300030009b
01353,"옥수수 과자, 강냉이",A0310010009a
01354,"옥수수 과자, 팝콘, 전자레인지 조리",A0310030009t
01355,"잡곡, 현미, 찹쌀, 현미찹쌀, 보리 등, 생것",A0470002590a
01357,김밥,S0060000009a
01358,"김밥, 김치 김밥",S0060010009a
01360,"김밥, 소고기 김밥",S0060030009a
01361,"김밥, 참치 김밥",S0060040009a
01362,"덮밥, 불고기 덮밥",S0150010009a
01364,"덮밥, 제육 덮밥",S0150030009a
01365,"덮밥, 참치 덮밥",S0150040009a
01369,"볶음밥, 김치 볶음밥",S0300010009a
01371,비빔밥,S0330000009a
01372,알밥,S0470000009a
01373,잡채밥,S0540000009a
01376,짜장밥,S0590000009a
01384,"퀴노아, 쪄서 말린것",A0460000002a
02002,"감자, 대지, 생것",B0010060000a
02003,"감자, 수미, 생것",B0010140000a
02007,"감자, 으깬감자",B0050000009a
02009,감자 샐러드,B0040000009a
02011,"감자 과자, 감자칩, 튀긴것",B0020010009j
02012,"감자 튀김, 튀긴것",B0030000009j
02013,"감자 튀김, 해시브라운, 튀긴것",B0030010009j
02015,"감자, 자색, 찐것",B0010180009e
02016,"고구마, 생것",B0060000000a
02018,"고구마, 구운것",B0060000009f
02019,"고구마, 말린것",B0060000001a
02020,"고구마, 찐것",B0060000009e
02022,"곤약(구약나물), 국수형, 생것",B0090010000a
02023,"곤약(구약나물), 판형, 생것",B0090020000a
02026,"마, 단마, 생것",B0110010000a
02028,"마, 장마, 생것",B0110030000a
02030,"전분, 감자, 가루",B0140010005a
02031,"전분, 고구마, 가루",B0140020005a
02034,"전분, 옥수수, 가루",B0140050005a
02039,"당면, 고구마, 말린것",B0070010001a
02040,"당면, 고구마, 삶은것",B0070010001b
02041,양장피,S0820000000a
02043,"토란, 생것",B0170000000a
02059,"감자, 대지, 삶은것",B0010060009b
02060,"감자, 대지, 찐것",B0010060009e
02061,"감자, 대지, 구운것",B0010060009f
02062,"감자, 수미, 삶은것",B0010140009b
02068,"감자, 로즈밸리, 삶은것",B0010220009b
02070,"고구마, 분질(밤) 고구마, 생것",B0060150000a
02071,"고구마, 분질(밤) 고구마, 찐것",B0060150009e
02072,"고구마, 분질(밤) 고구마, 구운것",B0060150009f
02073,"고구마, 점질(호박) 고구마, 생것",B0060160000a
02074,"고구마, 점질(호박) 고구마, 찐것",B0060160009e
02075,"고구마, 점질(호박) 고구마, 구운것",B0060160009f
02076,"돼지감자, 말린것",B0100000001a
02077,"돼지감자, 삶은것",B0100000009b
03002,"껌, 추잉 껌",C0020010009a
03003,"껌, 풍선껌",C0020020009a
03004,꿀,C0030000009a
03006,"꿀, 밤",C0030020009a
03008,"꿀, 아카시아",C0030040009a
03009,"꿀, 잡화",C0030050009a
03010,"꿀, 토종",C0030060009a
03011,로얄제리,C0050000009a
03014,물엿,C0070000009a
03017,"사탕, 드롭스",C0090030009a
03018,"사탕, 마쉬멜로",C0090040009a
03019,"사탕, 박하사탕",C0090050009a
03020,"사탕, 버터",C0090060009a
03024,"설탕, 백설탕",C0110020009a
03025,"설탕, 황설탕",C0110040009a
03026,"설탕, 흑설탕",C0110050009a
03027,"설탕, 각설탕",C0110010009a
03029,"설탕, 가루",C0110000005a
03030,"시럽, 단풍나무",C0120010009a
03032,"시럽, 초콜릿",C0120030009a
03036,"양갱, 팥",C0130010009a
03037,"엿, 고구마",C0060020009a
03040,"젤리, 구미",C0150010009a
03041,"초콜릿, 다크 초콜릿",C0170020009a
03042,"초콜릿, 땅콩 초콜릿",C0170030009a
03043,"초콜릿, 밀크 초콜릿",C0170060009a
03044,"초콜릿, 크런치 초콜릿",C0170110009a
03045,"초콜릿, 밀크 아몬드 초콜릿",C0170050009a
03047,"초콜릿, 화이트 초콜릿",C0170100009a
03048,"초콜릿, 스위트 초콜릿",C0170080009a
03051,"캐러멜, 우유",C0180010009a
03061,"조청, 도라지",C0160030009a
03062,"조청, 쌀",C0160060009a
03063,"껌, 무설탕",C0020030009a
03066,"사탕, 땅콩",C0090070009a
03067,"초코바, 땅콩 캐러멜",C0210010009a
03068,"초코바, 쿠키 캐러멜",C0210020009a
04001,"강낭콩, 생것",D0010000000a
04002,"강낭콩, 말린것",D0010000001a
04003,"강낭콩, 삶은것",D0010000009b
04004,"녹두, 말린것",D0020000001a
04006,"녹두 빈대떡, 가루",D0030000005a
04009,녹두묵,D0050000009a
04010,"대두, 검은색, 흑태, 말린것",D0120080001a
04011,"대두, 검은색, 서리태, 말린것",D0120050001a
04012,"대두, 노란색, 말린것",D0120020001a
04015,"대두, 노란색, 삶은것",D0120020009b
04016,"밤콩, 갈색, 말린것",D0120010001a
04017,두부,D0150000009a
04018,"두부, 동두부, 동결건조",D0150010008a
04019,"두부, 순두부",D0150020009a
04020,"두부, 연두부",D0150030009a
04021,"두부, 유부",D0150040009j
04022,비지,D0160000009a
